strain,species,strain_lost,s_label,species2,location,spid_18s,spid_testcross,bleach_status
QG4203,C. tribulationis,0,C-5512.6, C. tribulationis, Tamborine, yes, yes,
QG4204,C. tribulationis,0,C-5514.1, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4205,C. tribulationis,0,C-5514.2, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4206,C. briggsae,0,C-5609.1, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4207,C. briggsae,0,C-5609.2, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4208,C. briggsae,0,C-5609.3, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4209,C. briggsae,0,C-5609.4, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4210,C. briggsae,0,C-5609.5, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4211,C. briggsae,0,C-5609.6, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4212,C. briggsae,0,C-5612.1, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4213,C. briggsae,0,C-5612.2, C. briggsae, Eungella, yes, no, frozen without bleaching
QG4214,C. briggsae,0,C-5615.4, C. briggsae, Eungella, no, yes,
QG4215,C. n. sp,0,C-5628.1, C. n. sp, Paluma, yes, no,
QG4216,C. n. sp - lost,1,C-5628.2, C. n. sp, Paluma, yes, no,
QG4217,C. n. sp - lost,1,C-5628.3, C. n. sp, Paluma, yes, no,
QG4218,C. tribulationis,0,C-5695.1, C. tribulationis, Imbil, yes, yes,
QG4219,C. tribulationis,0,C-5695.2, C. tribulationis, Imbil, yes, yes,
QG4220,C. tribulationis,0,C-5703.1, C. tribulationis, The Palms, yes, no,
QG4221,C. tribulationis,0,C-5703.2, C. tribulationis, The Palms, no, yes,
QG4222,C. tribulationis,0,C-5715.1, C. tribulationis, The Palms, yes, no,
